pinyin	phoneme	syll	syll_n	letter_n	sound_n	
ying3	yiŋ3	['ying']	1	4	3	
kuan1shu4	kuan1$u4	['kuan', 'shu']	2	7	6	
zui4qia1	zui4qia1	['zui', 'qia']	2	6	6	
ji1lu4bai3	ji1lu4b#3	['ji', 'lu', 'bai']	3	7	6	
shao2	$#2	['shao']	1	4	2	
biao3yang4	bi#3yaŋ4	['biao', 'yang']	2	8	6	
xi3zhuo2	xi3$uo2	['xi', 'zhuo']	2	6	5	
zhen4xing1	$en4xjəŋ1	['zhen', 'xing']	2	8	7	
gong1niu2	goŋ1niu2	['gong', 'niu']	2	7	6	
you3xiao4	y#3xi#4	['you', 'xiao']	2	7	5	
cha4bu0duo1	$a4bu0duo1	['cha', 'bu', 'duo']	3	8	7	
yi3zhi3	yi3$i3	['yi', 'zhi']	2	5	4	
ji1fa1	ji1fa1	['ji', 'fa']	2	4	4	
lie4huo3	lie4huo3	['lie', 'huo']	2	6	6	
bai3xing4luo4	b#3xjəŋ4luo4	['bai', 'xing', 'luo']	3	10	9	
que4ju4	que4ju4	['que', 'ju']	2	5	5	
gai1yin3	g#1yin3	['gai', 'yin']	2	6	5	
zun1meng2	zwən1meŋ2	['zun', 'meng']	2	7	7	
sui4shu4	sui4$u4	['sui', 'shu']	2	6	5	
zher4	$er4	['zher']	1	4	3	
lin2si3	lin2si3	['lin', 'si']	2	5	5	
ge4zi4	ge4zi4	['ge', 'zi']	2	4	4	
lin2zhong1	lin2$oŋ1	['lin', 'zhong']	2	8	6	
hai2gu3	h#2gu3	['hai', 'gu']	2	5	4	
wei2rao3	w#2r#3	['wei', 'rao']	2	6	4	
ji4nv3	ji4nv3	['ji', 'nv']	2	4	4	
tan4zi3	tan4zi3	['tan', 'zi']	2	5	5	
ji1dian4	ji1dian4	['ji', 'dian']	2	6	6	
ba1la1	ba1la1	['ba', 'la']	2	4	4	
san1sun1	san1swən1	['san', 'sun']	2	6	7	
ye1fu2ta1	ye1fu2ta1	['ye', 'fu', 'ta']	3	6	6	
yan2xing2	yan2xjəŋ2	['yan', 'xing']	2	7	7	
